structure_inchikey_no_stereo	structure_tax_cla_chemontid	structure_tax_cla_01kin	structure_tax_cla_02sup	structure_tax_cla_03cla	structure_tax_cla_04dirpar
JZVFJDZBLUFKCA	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
BDHQMRXFDYJGII	0002321	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cycloartanols and derivatives
XUGISPSHIFXEHZ	0001490	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesteryl esters
WNPWDGNHTKGEDS	0001669	Organic compounds	Lipids and lipid-like molecules	Sphingolipids	Long-chain ceramides
WZLPUZVRWICXBZ	0002484	Organic compounds	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
OYXZMSRRJOYLLO	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
SSZBUIDZHHWXNJ	0003322	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Wax monoesters
SOCXDNMHDNVKIL	0003322	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Wax monoesters
BAXNUBOEQRHLSD	0001418	Organic compounds	Lipids and lipid-like molecules	Sphingolipids	Ceramides
YYGNTYWPHWGJRM	0001553	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids
SECPZKHBENQXJG	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids
WQEPLUUGTLDZJY	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids
TUNFSRHWOTWDNC	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids
ZDXPYRJPNDTMRX	0004146 $ 0002404 $ 0004145	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	L-alpha-amino acids $ Alpha amino acids $ D-alpha-amino acids
FFEARJCKVFRZRR	0004143	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Methionine and derivatives
FJKROLUGYXJWQN	0001248	Organic compounds	Benzenoids	Benzene and substituted derivatives	Hydroxybenzoic acid derivatives
YGSDEFSMJLZEOE	0002514	Organic compounds	Benzenoids	Benzene and substituted derivatives	Salicylic acids
UYTPUPDQBNUYGX	0000245	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives
ODBLHEXUDAPZAU	0001986	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
GHVNFZFCNZKVNT	0003086	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Medium-chain fatty acids
KDXKERNSBIXSRK	0004146 $ 0002404 $ 0004145	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	L-alpha-amino acids $ Alpha amino acids $ D-alpha-amino acids
ULBTUVJTXULMLP	0000324	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
AFENDNXGAFYKQO	0001359	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
JPIJQSOTBSSVTP	0000215	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Sugar acids and derivatives
FKNQFGJONOIPTF	0000425	Inorganic compounds	Homogeneous metal compounds	Homogeneous alkali metal compounds	Homogeneous alkali metal compounds
UNXHWFMMPAWVPI	0002210	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Sugar alcohols
GZCGUPFRVQAUEE	0001498	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Hexoses
ZKLLSNQJRLJIGT	0001541	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Monosaccharide phosphates
AEMOLEFTQBMNLQ	0002094	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Glucuronic acid derivatives
DHMQDGOQFOQNFH	0002404	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Alpha amino acids
ONIBWKKTOPOVIA	0004322	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Proline and derivatives
BJHIKXHVCXFQLS	0001540	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Monosaccharides
UDMBCSSLTHHNCD	0001617	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleoside monophosphates
HXXFSFRBOHSIMQ	0001541	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Monosaccharide phosphates
LQJBNNIYVWPHFW	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids
SUHOOTKUPISOBE	0001266	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphoethanolamines
AGPKZVBTJJNPAG	0004330	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Isoleucine and derivatives
RRUDCFGSUDOHDG	0003223	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Acetohydroxamic acids
KZSNJWFQEVHDMF	0004310	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Valine and derivatives
VZCYOOQTPOCHFL	0000346	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
WQZGKKKJIJFFOK	0001498	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Hexoses
OSJPPGNTCRNQQC	0000215	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Sugar acids and derivatives
ODHCTXKNWHHXJC	0000060 $ 0004322	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Alpha amino acids and derivatives $ Proline and derivatives
JVTAAEKCZFNVCJ	0001359	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
XSQUKJJJFZCRTK	0000517	Organic compounds	Organic acids and derivatives	Organic carbonic acids and derivatives	Ureas
COLNVLDHVKWLRT	0004321	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Phenylalanine and derivatives
